Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Image Position,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image,SEO Title,SEO Description,Status
defibtech-lifeline-automaat-nederlands,Defibtech Lifeline automaat nederlands - Deutsch,"<p>De Defibtech Lifeline AUTO is de volautomatische uitvoering van de Lifeline AED: na de analyse dient het toestel de schok zelf toe, zonder dat de hulpverlener op een knop hoeft te drukken. Het apparaat meet 22 x 30 x 7 cm, weegt 2 kg, is IP54 beschermd tegen stof en spatwater en levert 150 J, met metronoom, reanimatiebegeleiding en pacemakerdetectie. Geleverd gebruiksklaar met batterijunit (levensduur 7 jaar, circa 300 schokken), een paar elektroden, 9V statusindicatorbatterij, referentiekaart en handleiding. Verkrijgbaar met Nederlandse of Duitse spraak.</p><ul><li>Volautomaat: schok zonder knopdruk</li><li>Batterijunit met levensduur 7 jaar, circa 300 schokken</li><li>IP54, 150 J, 6 seconden tot schok</li><li>22 x 30 x 7 cm, 2 kg</li><li>Garantie: 5 jaar toestel, 3 jaar batterij</li></ul>",Defibtech,AED & reanimatie,"AED & reanimatie, AED apparaten, btw-9, bestseller",TRUE,1,Uitvoering,Deutsch,defibtech-lifeline-automaat-nederlands,,,,continue,manual,1847.22,2052.47,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-automaat-nederlands.jpg,Defibtech Lifeline automaat nederlands - Deutsch,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-automaat-nederlands.jpg,Defibtech Lifeline automaat nederlands - Deutsch,"De Defibtech Lifeline AUTO is de volautomatische uitvoering van de Lifeline AED: na de analyse dient het toestel de schok zelf toe, zonder dat de hulpverle",active
defibtech-lifeline-automaat-nederlands,,,,,,,,,Nederlands,defibtech-lifeline-automaat-nederlands-nederlands,,,,continue,manual,2121.90,2357.67,TRUE,TRUE,,,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-automaat-nederlands-nederlands.jpg,,,
medtronic-lifepak-1000-aed,Medtronic Lifepak 1000 AED - Alleen AED-module,"<p>De Physio-Control LIFEPAK 1000 van Medtronic is een halfautomatische AED voor professionele hulpverleners en bedrijfshulpverlening, met uitgebreide configuratiemogelijkheden die met toekomstige reanimatieprotocollen kunnen meegroeien. Het toestel meet 9 x 23 x 28 cm, weegt 3,2 kg, is IP55 beschermd en heeft een scherm, 40 minuten geheugen en een lithiumbatterij van 12 V 6,2 Ah (levensduur 5 jaar, 440 schokken). Geleverd in een zwarte draagtas. Verkrijgbaar als uitvoering met alleen de AED-module of als AED/ECG/manuele module met 3-afleidingen ECG-weergave op het display en manual override.</p><ul><li>Halfautomaat met scherm en 40 minuten geheugen</li><li>IP55, 9 x 23 x 28 cm, 3,2 kg</li><li>Lithiumbatterij 12 V 6,2 Ah, 5 jaar, 440 schokken</li><li>Inclusief zwarte draagtas</li><li>Alleen AED, of AED/ECG/manuele module met 3-leads ECG</li></ul>",Medtronic,AED & reanimatie,"AED & reanimatie, AED apparaten, btw-9",TRUE,1,Uitvoering,Alleen AED-module,medtronic-lifepak-1000-aed,,shopify,0,deny,manual,3442.60,3825.11,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/medtronic-lifepak-1000-aed.jpg,Medtronic Lifepak 1000 AED - Alleen AED-module,https://ehbodepot.nl/assets/img/products/evac/medtronic-lifepak-1000-aed.jpg,Medtronic Lifepak 1000 AED - Alleen AED-module | EHBO Depot,"De Physio-Control LIFEPAK 1000 van Medtronic is een halfautomatische AED voor professionele hulpverleners en bedrijfshulpverlening, met uitgebreide configu",active
medtronic-lifepak-1000-aed,,,,,,,,,AED/ECG/Manuele module,medtronic-lifepak-1000-aed-aed-ecg-manuele-module,,shopify,0,deny,manual,4404.50,4893.89,TRUE,TRUE,,,https://ehbodepot.nl/assets/img/products/evac/medtronic-lifepak-1000-aed-aed-ecg-manuele-module.jpg,,,
defibtech-lifeline-view-dual-language,Defibtech Lifeline view dual language,"<p>De Defibtech Lifeline View Dual is een halfautomatische AED met een fullcolour scherm dat de hulpverlener met video&#x27;s stap voor stap toont hoe te reanimeren, beademen en defibrilleren. De gebruiker kiest bij inzet uit twee talen, handig in meertalige omgevingen zoals stations, luchthavens en hotels; verkrijgbaar in de combinaties NL/GB, NL/F en D/GB. Het toestel meet 18,5 x 24 x 5,8 cm, weegt 1,4 kg, is IP55 beschermd, levert 150 J en voert dagelijks zelftests uit met statusweergave van toestel, accu en elektroden. Geleverd met batterijunit (levensduur 4 jaar, 125 schokken), een paar elektroden, 9V statusbatterij en handleiding.</p><ul><li>Fullcolour scherm met stap-voor-stap video-instructies</li><li>Tweetalig: NL/GB, NL/F of D/GB</li><li>IP55, 150 J, reanimatiefeedback en USB-aansluiting</li><li>18,5 x 24 x 5,8 cm, 1,4 kg</li><li>Batterij 4 jaar, 125 schokken, 8 jaar garantie op toestel</li></ul>",Defibtech,AED & reanimatie,"AED & reanimatie, AED apparaten, btw-9",TRUE,1,Title,Default Title,defibtech-lifeline-view-dual-language,,,,continue,manual,2465.25,2739.17,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-view-dual-language.jpg,Defibtech Lifeline view dual language,,Defibtech Lifeline view dual language | EHBO Depot,De Defibtech Lifeline View Dual is een halfautomatische AED met een fullcolour scherm dat de hulpverlener met video's stap voor stap toont hoe te reanimere,active
safe-sure-contract-aed,Safe & Sure contract AED,"<p>Het Safe &amp; Sure contract is een jaarlijks full-service onderhoudscontract voor uw AED, voor alle merken uit ons assortiment. Een servicemonteur komt jaarlijks op locatie in Nederland of België, controleert AED en ophanging, doet een functionele test met joule-meting, vervangt batterij en elektroden waar nodig en installeert software-updates. Na afloop krijgt de AED een keuringssticker en ontvangt u een onderhoudsprotocol (minimaal 5 jaar bewaard). Verder inbegrepen: 24/7 inzetmelding, vervangende AED bij reparatie, schade, verlies of diefstal, uitlezen na inzet en een helpdesk tijdens kantooruren; geef bij bestelling het type AED op.</p><ul><li>Jaarlijkse inspectie op locatie in Nederland en België</li><li>Functionele test met joule-meting, software-updates</li><li>Vervanging van batterij en elektroden inbegrepen</li><li>Vervangende AED bij reparatie, schade, verlies of diefstal</li><li>Keuringssticker en onderhoudsprotocol, 24/7 inzetmelding</li></ul>",EHBO Depot,AED & reanimatie,"AED & reanimatie, AED service & onderdelen, btw-9",TRUE,1,Title,Default Title,safe-sure-contract-aed,,,,continue,manual,227.99,253.32,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/safe-sure-contract-aed.jpg,Safe & Sure contract AED,,Safe & Sure contract AED | EHBO Depot,"Het Safe & Sure contract is een jaarlijks full-service onderhoudscontract voor uw AED, voor alle merken uit ons assortiment. Een servicemonteur komt jaarli",active
universele-aed-wandbeugel-met-pictogram-horizontaal,Universele AED wandbeugel met pictogram - horizontaal,"<p>Universele stalen wandbeugel voor het ophangen van een AED, met of zonder draagtas, gecombineerd met het internationale ILCOR-pictogram in groen en wit in horizontale uitvoering. De beugel is 10 cm breed en 8,5 cm diep; het pictogram meet 19 x 12 cm en maakt de AED van een afstand herkenbaar. Geschikt voor kantoren, sportlocaties, winkels en productiebedrijven die de AED op een vaste, zichtbare plek willen hangen.</p><ul><li>Stalen ophangbeugel, geschikt voor de meeste AED&#x27;s</li><li>Ophangen met of zonder draagtas</li><li>ILCOR-pictogram groen/wit, horizontaal, 19 x 12 cm</li><li>Beugel 10 cm breed, 8,5 cm diep</li></ul>",EHBO Depot,AED & reanimatie,"AED & reanimatie, AED kasten & beugels",TRUE,1,Title,Default Title,universele-aed-wandbeugel-met-pictogram-horizontaal,,,,continue,manual,40.68,45.20,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/universele-aed-wandbeugel-met-pictogram-horizontaal.jpg,Universele AED wandbeugel met pictogram - horizontaal,,Universele AED wandbeugel met pictogram - horizontaal,"Universele stalen wandbeugel voor het ophangen van een AED, met of zonder draagtas, gecombineerd met het internationale ILCOR-pictogram in groen en wit in ",active
defibtech-lifeline-aed-draagtas-groen,Defibtech Lifeline AED draagtas - groen,"<p>Groene draagtas (softcase) van stevig nylon voor de Defibtech Lifeline AED. Naast het toestel is er ruimte voor reserve-elektroden, een reservebatterij en andere accessoires, zodat alles voor een reanimatie bij elkaar zit. De tas heeft een handvat en een reflecterende veiligheidsstrip voor zichtbaarheid bij weinig licht. Geschikt voor bedrijven, sportclubs en instellingen die de AED willen meenemen of beschermd willen ophangen.</p><ul><li>Voor de Defibtech Lifeline AED</li><li>Stevig nylon, kleur groen</li><li>Ruimte voor reserve-elektroden en reservebatterij</li><li>Handvat en reflecterende veiligheidsstrip</li></ul>",Defibtech,AED & reanimatie,"AED & reanimatie, AED tassen & koffers",TRUE,1,Title,Default Title,defibtech-lifeline-aed-draagtas-groen,,,,continue,manual,105.08,116.76,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-aed-draagtas-groen.jpg,Defibtech Lifeline AED draagtas - groen,,Defibtech Lifeline AED draagtas - groen | EHBO Depot,"Groene draagtas (softcase) van stevig nylon voor de Defibtech Lifeline AED. Naast het toestel is er ruimte voor reserve-elektroden, een reservebatterij en ",active
defibtech-lifeline-muurdraagbeugel,Defibtech Lifeline muurdraagbeugel,"<p>Wandbeugel van Defibtech voor het ophangen van de Lifeline AED. Met de beugel hangt het toestel veilig en goed zichtbaar aan de muur, bijvoorbeeld bij de receptie, in de kantine of naast de BHV-kast, en is het beschermd tegen stoten en vallen. Bedoeld voor bedrijven, scholen en sportaccommodaties die een Lifeline AED op een vaste plek willen plaatsen.</p><ul><li>Passend voor de Defibtech Lifeline AED</li><li>Veilige en zichtbare wandmontage</li><li>Beschermt de AED tegen beschadiging</li></ul>",Defibtech,AED & reanimatie,"AED & reanimatie, AED kasten & beugels",TRUE,1,Title,Default Title,defibtech-lifeline-muurdraagbeugel,,,,continue,manual,83.85,93.17,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-muurdraagbeugel.jpg,Defibtech Lifeline muurdraagbeugel,,Defibtech Lifeline muurdraagbeugel | EHBO Depot,"Wandbeugel van Defibtech voor het ophangen van de Lifeline AED. Met de beugel hangt het toestel veilig en goed zichtbaar aan de muur, bijvoorbeeld bij de r",active
defibtech-kinderelektroden,Defibtech Kinderelektroden,"<p>Defibtech kinderelektroden DDP-200P voor gebruik met de Lifeline AED bij baby&#x27;s en kinderen tot 8 jaar. De verpakking bevat 1 paar elektroden, die vooraf aangesloten in de AED opgeborgen kunnen worden of als reserveset in de draagtas. De elektroden zijn voor eenmalig gebruik en hebben een houdbaarheid van 2 jaar. Aan te raden voor scholen, kinderdagverblijven, zwembaden en andere locaties waar kinderen aanwezig zijn.</p><ul><li>Type DDP-200P, voor de Lifeline AED</li><li>Voor baby&#x27;s en kinderen tot 8 jaar</li><li>1 paar per verpakking</li><li>Eenmalig gebruik, houdbaarheid 2 jaar</li><li>Vooraf aangesloten op te bergen in de AED</li></ul>",Defibtech,AED & reanimatie,"AED & reanimatie, AED elektroden, btw-9",TRUE,1,Title,Default Title,defibtech-kinderelektroden,,,,continue,manual,157.94,175.49,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/defibtech-kinderelektroden.jpg,Defibtech Kinderelektroden,,Defibtech Kinderelektroden | EHBO Depot,"Defibtech kinderelektroden DDP-200P voor gebruik met de Lifeline AED bij baby's en kinderen tot 8 jaar. De verpakking bevat 1 paar elektroden, die vooraf a",active
defibtech-lifeline-draagtas-softcase,Defibtech Lifeline draagtas softcase,"<p>Defibtech softcase DAC-100, de draagtas van stevig nylon voor de Lifeline AED. In de tas is naast het toestel ruimte voor reserve-elektroden, een reservebatterij en andere accessoires. De tas heeft een handvat en een schouderband en is voorzien van een reflecterende veiligheidsstrip. Geschikt voor bedrijven, sportverenigingen en instellingen die de AED beschermd willen bewaren of meenemen naar een incident.</p><ul><li>Type DAC-100, voor de Lifeline AED</li><li>Stevig nylon</li><li>Ruimte voor reserve-elektroden en reservebatterij</li><li>Handvat en schouderband</li><li>Reflecterende veiligheidsstrip</li></ul>",Defibtech,AED & reanimatie,"AED & reanimatie, AED tassen & koffers",TRUE,1,Title,Default Title,defibtech-lifeline-draagtas-softcase,,,,continue,manual,76.23,84.70,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-draagtas-softcase.jpg,Defibtech Lifeline draagtas softcase,,Defibtech Lifeline draagtas softcase | EHBO Depot,"Defibtech softcase DAC-100, de draagtas van stevig nylon voor de Lifeline AED. In de tas is naast het toestel ruimte voor reserve-elektroden, een reserveba",active
defibtech-lifeline-batterij-view,Defibtech Lifeline batterij view,<p>Vervangende batterij-unit (DCF-2003) voor de Defibtech Lifeline View AED. Geplaatst in de AED heeft de batterij een stand-by levensduur van maximaal 4 jaar en is deze goed voor 125 defibrillatieschokken of 8 uur gebruikstijd. Voor bedrijven en instellingen die een Lifeline View AED in beheer hebben en de batterij tijdig willen vervangen.</p><ul><li>Voor Defibtech Lifeline View AED</li><li>Type DCF-2003</li><li>Stand-by levensduur maximaal 4 jaar</li><li>125 schokken of 8 uur gebruikstijd</li></ul>,Defibtech,AED & reanimatie,"AED & reanimatie, AED batterijen, btw-9",TRUE,1,Title,Default Title,defibtech-lifeline-batterij-view,,,,continue,manual,363.95,404.39,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-batterij-view.jpg,Defibtech Lifeline batterij view,,Defibtech Lifeline batterij view | EHBO Depot,Vervangende batterij-unit (DCF-2003) voor de Defibtech Lifeline View AED. Geplaatst in de AED heeft de batterij een stand-by levensduur van maximaal 4 jaar,active
defibtech-lifeline-batterij,Defibtech Lifeline batterij,"<p>Batterij-unit DCF-210 voor de Defibtech Lifeline AED, inclusief 9V batterij. De unit heeft een stand-by levensduur van 7 jaar in de AED en levert 300 defibrillatieschokken of 16 uur gebruikstijd, inclusief de dagelijkse, wekelijkse, maandelijkse en kwartaalzelftesten. Bedoeld voor beheerders die een Lifeline AED gebruiksklaar willen houden.</p><ul><li>Voor Defibtech Lifeline AED</li><li>Type DCF-210, inclusief 9V batterij</li><li>Stand-by levensduur 7 jaar</li><li>300 schokken of 16 uur gebruikstijd</li><li>Zelftesten dagelijks tot per kwartaal</li></ul>",Defibtech,AED & reanimatie,"AED & reanimatie, AED batterijen, btw-9",TRUE,1,Title,Default Title,defibtech-lifeline-batterij,,,,continue,manual,410.65,456.28,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-batterij.jpg,Defibtech Lifeline batterij,,Defibtech Lifeline batterij | EHBO Depot,"Batterij-unit DCF-210 voor de Defibtech Lifeline AED, inclusief 9V batterij. De unit heeft een stand-by levensduur van 7 jaar in de AED en levert 300 defib",active
defibtech-lifeline-defibrillatie-elektroden,Defibtech Lifeline defibrillatie elektroden,"<p>Set defibrillatie-elektroden (DDP-100-P1) voor de Defibtech Lifeline AED, verpakt per paar. De elektroden kunnen vooraf aangesloten in de AED worden opgeborgen en een extra set past in de draagtas. De elektroden zijn voor eenmalig gebruik en hebben een houdbaarheid van 2 jaar, houd de vervaldatum dus bij in uw AED-onderhoudsschema.</p><ul><li>Voor Defibtech Lifeline AED</li><li>Type DDP-100-P1, één paar per verpakking</li><li>Vooraf aangesloten op te bergen in de AED</li><li>Eenmalig gebruik</li><li>Houdbaarheid 2 jaar</li></ul>",Defibtech,AED & reanimatie,"AED & reanimatie, AED elektroden, btw-9",TRUE,1,Title,Default Title,defibtech-lifeline-defibrillatie-elektroden,,,,continue,manual,84.61,94.01,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-defibrillatie-elektroden.jpg,Defibtech Lifeline defibrillatie elektroden,,Defibtech Lifeline defibrillatie elektroden | EHBO Depot,"Set defibrillatie-elektroden (DDP-100-P1) voor de Defibtech Lifeline AED, verpakt per paar. De elektroden kunnen vooraf aangesloten in de AED worden opgebo",active
defibtech-lifeline-view-defibrillatie-elektroden,Defibtech Lifeline view defibrillatie elektroden,"<p>Set defibrillatie-elektroden (DDP-2001) voor de Defibtech Lifeline View AED, één paar per verpakking. De elektroden kunnen aangesloten in de AED worden bewaard, zodat het apparaat direct inzetbaar is; een reserveset past in de draagtas. Ze zijn voor eenmalig gebruik met een houdbaarheid van 2 jaar. Let op: niet geschikt voor de Defibtech Lifeline en Lifeline Auto.</p><ul><li>Voor Defibtech Lifeline View AED</li><li>Type DDP-2001, één paar per verpakking</li><li>Eenmalig gebruik, houdbaarheid 2 jaar</li><li>Niet voor Lifeline en Lifeline Auto</li></ul>",Defibtech,AED & reanimatie,"AED & reanimatie, AED elektroden, btw-9",TRUE,1,Title,Default Title,defibtech-lifeline-view-defibrillatie-elektroden,,,,continue,manual,101.64,112.93,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/defibtech-lifeline-view-defibrillatie-elektroden.jpg,Defibtech Lifeline view defibrillatie elektroden,,Defibtech Lifeline view defibrillatie elektroden,"Set defibrillatie-elektroden (DDP-2001) voor de Defibtech Lifeline View AED, één paar per verpakking. De elektroden kunnen aangesloten in de AED worden bew",active
cardiac-science-g3-electroden,Cardiac Science G3 electroden,"<p>Set defibrillatie-elektroden voor de Cardiac Science Powerheart G3 AED. De elektroden zijn bedoeld als vervanging na gebruik of na het verstrijken van de houdbaarheidstermijn van 2 jaar. Geschikt voor bedrijven, scholen en verenigingen die een G3 AED inzetbaar willen houden.</p><ul><li>Voor Cardiac Science Powerheart G3 AED</li><li>Defibrillatie-elektroden voor de AED</li><li>Vervangingstermijn 2 jaar</li></ul>",Cardiac Science,AED & reanimatie,"AED & reanimatie, AED apparaten, btw-9",TRUE,1,Title,Default Title,cardiac-science-g3-electroden,,,,continue,manual,79.42,88.24,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/cardiac-science-g3-electroden.jpg,Cardiac Science G3 electroden,,Cardiac Science G3 electroden | EHBO Depot,Set defibrillatie-elektroden voor de Cardiac Science Powerheart G3 AED. De elektroden zijn bedoeld als vervanging na gebruik of na het verstrijken van de h,active
cardiac-science-powerheart-g5-cprd-elektroden,Cardiac Science Powerheart G5 CPRD elektroden,"<p>Set elektroden met CPRD-unit voor de Cardiac Science Powerheart G5 AED. De CPRD-unit geeft de hulpverlener tijdens de reanimatie directe feedback op de diepte en snelheid van de borstcompressies, conform de ERC-richtlijnen van 2010, zodat ook onervaren gebruikers de stappen correct uitvoeren. De elektroden hebben een vervangingstermijn van 2 jaar.</p><ul><li>Voor Cardiac Science Powerheart G5 AED</li><li>CPRD-unit voor realtime reanimatiefeedback</li><li>Feedback op diepte en snelheid borstcompressies</li><li>Conform ERC-richtlijnen 2010</li><li>Vervangingstermijn 2 jaar</li></ul>",Cardiac Science,AED & reanimatie,"AED & reanimatie, AED elektroden, btw-9",TRUE,1,Title,Default Title,cardiac-science-powerheart-g5-cprd-elektroden,,,,continue,manual,307.31,341.45,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/cardiac-science-powerheart-g5-cprd-elektroden.jpg,Cardiac Science Powerheart G5 CPRD elektroden,,Cardiac Science Powerheart G5 CPRD elektroden | EHBO Depot,Set elektroden met CPRD-unit voor de Cardiac Science Powerheart G5 AED. De CPRD-unit geeft de hulpverlener tijdens de reanimatie directe feedback op de die,active
cardiac-science-powerheart-g5-elektroden,Cardiac Science Powerheart G5 elektroden,<p>Set defibrillatie-elektroden voor de Cardiac Science Powerheart G5 AED. Bedoeld als vervanging na een inzet of wanneer de houdbaarheidsdatum van de geplaatste elektroden is verstreken. Geschikt voor bedrijven en instellingen die een Powerheart G5 in de BHV-uitrusting hebben opgenomen.</p><ul><li>Voor Cardiac Science Powerheart G5 AED</li><li>Defibrillatie-elektroden voor de AED</li><li>Vervanging na inzet of verlopen houdbaarheid</li></ul>,Cardiac Science,AED & reanimatie,"AED & reanimatie, AED elektroden, btw-9",TRUE,1,Title,Default Title,cardiac-science-powerheart-g5-elektroden,,,,continue,manual,126.36,140.40,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/cardiac-science-powerheart-g5-elektroden.jpg,Cardiac Science Powerheart G5 elektroden,,Cardiac Science Powerheart G5 elektroden | EHBO Depot,Set defibrillatie-elektroden voor de Cardiac Science Powerheart G5 AED. Bedoeld als vervanging na een inzet of wanneer de houdbaarheidsdatum van de geplaat,active
cardiac-science-lithium-batterij-voor-g3-type-9146,Cardiac Science Lithium batterij voor G3 type 9146,"<p>Cardiac Science Intellisense lithiumbatterij, type 9146 (geel), voor de Powerheart G3 AED. De batterij past in de modellen 9300A, 9300E, 9390A en 9390E die na 12 april 2004 zijn geproduceerd. Bedoeld voor beheerders die de batterij van hun G3 AED willen vervangen.</p><ul><li>Voor Cardiac Science Powerheart G3 AED</li><li>Intellisense lithiumbatterij type 9146, geel</li><li>Past op 9300A, 9300E, 9390A en 9390E</li><li>Voor toestellen van na 12 april 2004</li></ul>",Cardiac Science,AED & reanimatie,"AED & reanimatie, AED batterijen, btw-9",TRUE,1,Title,Default Title,cardiac-science-lithium-batterij-voor-g3-type-9146,,,,continue,manual,557.75,619.72,TRUE,TRUE,https://ehbodepot.nl/assets/img/products/evac/cardiac-science-lithium-batterij-voor-g3-type-9146.jpg,Cardiac Science Lithium batterij voor G3 type 9146,,Cardiac Science Lithium batterij voor G3 type 9146,"Cardiac Science Intellisense lithiumbatterij, type 9146 (geel), voor de Powerheart G3 AED. De batterij past in de modellen 9300A, 9300E, 9390A en 9390E die",active
